"launch_id","name","date_utc","year","launch_success","landing_success","reuse_flight","reuse_bucket","is_reused","payload_mass_kg_total","landing_type","landpad"
"605b4b7daa5433645e37d040","Starlink-25 (v1.0)","2021-05-04T19:01:00.000Z",2021,1,1,9,"5+",1,15600,"ASDS","5e9e3032383ecb6bb234e7ca"
"605b4b95aa5433645e37d041","Starlink-26 (v1.0) + Capella-6 + Tyvak-0130","2021-05-15T22:54:00.000Z",2021,1,1,8,"5+",1,13632,"ASDS","5e9e3032383ecb6bb234e7ca"
"6079bd1c9a06446e8c61bf76","Starlink-27 (v1.0)","2021-05-09T06:42:00.000Z",2021,1,1,10,"5+",1,15600,"ASDS","5e9e3032383ecb6bb234e7ca"
"6079bd399a06446e8c61bf77","Starlink-28 (v1.0)","2021-05-26T18:59:00.000Z",2021,1,1,2,"2",1,15600,"ASDS","5e9e3033383ecbb9e534e7cc"
"607a34e35a906a44023e085e","NROL-87","2022-02-02T20:18:00.000Z",2022,1,1,1,"1",0,NA,"RTLS","5e9e3032383ecb554034e7c9"
"607a37565a906a44023e0866","Inspiration4","2021-09-16T00:02:00.000Z",2021,1,1,3,"3",1,NA,"ASDS","5e9e3033383ecbb9e534e7cc"
"60e3bf0d73359e1e20335c37","Starlink 2-1 (v1.5)","2021-09-14T03:55:00.000Z",2021,1,1,10,"5+",1,15600,"ASDS","5e9e3032383ecb6bb234e7ca"
"6161c88d6db1a92bfba85348","IXPE","2021-12-09T06:00:00.000Z",2021,1,1,5,"5+",1,330,"ASDS","5e9e3033383ecbb9e534e7cc"
"6161c94c6db1a92bfba85349","Starlink 4-3 (v1.5)","2021-12-01T23:20:00.000Z",2021,1,1,9,"5+",1,13260,"ASDS","5e9e3033383ecb075134e7cd"
"6161d2006db1a92bfba85356","CRS-24","2021-12-21T10:06:00.000Z",2021,1,1,1,"1",0,NA,"ASDS","5e9e3033383ecbb9e534e7cc"
"6161d32d6db1a92bfba85359","CSG-2","2022-01-31T23:11:12.000Z",2022,1,1,3,"3",1,2240,"RTLS","5e9e3032383ecb267a34e7c7"
"618faad2563d69573ed8ca9d","Starlink 4-1 (v1.5)","2021-11-13T12:40:00.000Z",2021,1,1,9,"5+",1,13260,"ASDS","5e9e3033383ecbb9e534e7cc"
"61bba806437241381bf7061e","Starlink 4-4 (v1.5)","2021-12-18T12:41:40.000Z",2021,1,1,11,"5+",1,13260,"ASDS","5e9e3032383ecb6bb234e7ca"
"61bf3e31cd5ab50b0d936345","Transporter-3","2022-01-13T15:25:00.000Z",2022,1,1,10,"5+",1,NA,"RTLS","5e9e3032383ecb267a34e7c7"
"61d5eca1f88e4c5fc91f1eb7","Starlink 4-5 (v1.5)","2022-01-06T21:49:00.000Z",2022,1,1,4,"4",1,13260,"ASDS","5e9e3033383ecb075134e7cd"
"61e048bbbe8d8b66799018d0","Starlink 4-6 (v1.5)","2022-01-19T00:04:00.000Z",2022,1,1,10,"5+",1,13260,"ASDS","5e9e3033383ecb075134e7cd"
"61e048ffbe8d8b66799018d1","Starlink 4-7 (v1.5)","2022-02-03T18:13:00.000Z",2022,1,1,6,"5+",1,13260,"ASDS","5e9e3033383ecb075134e7cd"
"61eefaa89eb1064137a1bd73","Ax-1","2022-04-08T15:17:00.000Z",2022,1,1,5,"5+",1,NA,"ASDS","5e9e3033383ecb075134e7cd"
"61fc01dae0dc5662b76489a7","Starlink 4-8 (v1.5)","2022-02-21T14:44:00.000Z",2022,1,1,11,"5+",1,13260,"ASDS","5e9e3033383ecb075134e7cd"
"61fc0203e0dc5662b76489a8","Starlink 4-11 (v1.5)","2022-02-25T17:12:00.000Z",2022,1,1,4,"4",1,13260,"ASDS","5e9e3032383ecb6bb234e7ca"
"61fc0224e0dc5662b76489ab","Starlink 4-9 (v1.5)","2022-03-03T14:35:00.000Z",2022,1,1,11,"5+",1,13260,"ASDS","5e9e3033383ecbb9e534e7cc"
"61fc0243e0dc5662b76489ae","Starlink 4-10 (v1.5)","2022-03-09T13:45:00.000Z",2022,1,1,4,"4",1,13260,"ASDS","5e9e3033383ecb075134e7cd"
"6234908cf051102e1fcedac4","Starlink 4-12 (v1.5)","2022-03-19T03:24:00.000Z",2022,1,1,12,"5+",1,13260,"ASDS","5e9e3033383ecbb9e534e7cc"
"6243ad8baf52800c6e919252","Transporter-4","2022-04-01T16:24:00.000Z",2022,1,1,7,"5+",1,NA,"ASDS","5e9e3033383ecbb9e534e7cc"
"6243ada6af52800c6e919253","Starlink 4-14 (v1.5)","2022-04-21T15:16:00.000Z",2022,1,1,12,"5+",1,13260,"ASDS","5e9e3033383ecbb9e534e7cc"
"6243adcaaf52800c6e919254","NROL-85","2022-04-17T13:13:00.000Z",2022,1,1,2,"2",1,NA,"RTLS","5e9e3032383ecb554034e7c9"
"6243ade2af52800c6e919255","Crew-4","2022-04-27T07:52:00.000Z",2022,1,1,4,"4",1,NA,"ASDS","5e9e3033383ecb075134e7cd"
"6243ae0aaf52800c6e919257","Nilesat-301","2022-06-08T21:04:00.000Z",2022,1,1,7,"5+",1,3938,"ASDS","5e9e3033383ecbb9e534e7cc"
"6243ae24af52800c6e919258","Transporter-5","2022-05-25T18:27:00.000Z",2022,1,1,8,"5+",1,NA,"RTLS","5e9e3032383ecb267a34e7c7"
"6243ae40af52800c6e919259","CRS-25","2022-07-15T00:44:00.000Z",2022,1,1,5,"5+",1,NA,"ASDS","5e9e3033383ecb075134e7cd"
"6243aea5af52800c6e91925c","SES-22","2022-06-29T21:04:00.000Z",2022,1,1,2,"2",1,3500,"ASDS","5e9e3033383ecb075134e7cd"
"625828f25988f159024b9643","Starlink 4-15 (v1.5)","2022-05-14T20:40:00.000Z",2022,1,1,1,"1",0,13260,"ASDS","5e9e3033383ecbb9e534e7cc"
"6258290d5988f159024b9644","Starlink 4-13 (v1.5)","2022-05-13T22:07:00.000Z",2022,1,1,5,"5+",1,13260,"ASDS","5e9e3032383ecb6bb234e7ca"
"62582a6f5988f159024b964b","Starlink 4-16 (v1.5)","2022-04-29T21:27:00.000Z",2022,1,1,6,"5+",1,13260,"ASDS","5e9e3033383ecbb9e534e7cc"
"62582a855988f159024b964c","Starlink 4-17 (v1.5)","2022-05-06T09:42:00.000Z",2022,1,1,12,"5+",1,13260,"ASDS","5e9e3033383ecb075134e7cd"
"62615ebc0ec008379be596fa","Starlink 4-18 (v1.5)","2022-05-18T10:40:00.000Z",2022,1,1,5,"5+",1,13260,"ASDS","5e9e3033383ecb075134e7cd"
"6278481757b51b752c5c5a5f","Starlink 4-19 (v1.5)","2022-06-01T17:08:50.000Z",2022,1,1,13,"5+",1,13260,"ASDS","5e9e3033383ecb075134e7cd"
"62a9f08b20413d2695d88711","Globalstar FM15","2022-06-19T04:27:00.000Z",2022,1,1,9,"5+",1,700,"ASDS","5e9e3033383ecbb9e534e7cc"
"62a9f0c920413d2695d88712","Starlink 4-21 (v1.5)","2022-07-07T13:11:00.000Z",2022,1,1,13,"5+",1,13260,"ASDS","5e9e3033383ecbb9e534e7cc"
"62a9f0e320413d2695d88713","Starlink 3-1 (v1.5)","2022-07-11T01:39:00.000Z",2022,NA,1,6,"5+",1,13260,"ASDS","5e9e3032383ecb6bb234e7ca"
"62a9f0f820413d2695d88714","Starlink 4-22 (v1.5)","2022-07-17T14:50:00.000Z",2022,1,1,13,"5+",1,13260,"ASDS","5e9e3033383ecbb9e534e7cc"
"62a9f10b20413d2695d88715","Starlink 3-2 (v1.5)","2022-07-21T17:13:00.000Z",2022,1,1,4,"4",1,13260,"ASDS","5e9e3032383ecb6bb234e7ca"
"62a9f12820413d2695d88716","Starlink 4-25 (v1.5)","2022-07-24T00:00:00.000Z",2022,1,1,8,"5+",1,13260,"ASDS","5e9e3033383ecb075134e7cd"
"62a9f86420413d2695d88719","KPLO","2022-08-04T23:08:00.000Z",2022,1,1,6,"5+",1,678,"ASDS","5e9e3033383ecbb9e534e7cc"
"62a9f89a20413d2695d8871a","Starlink 4-2 (v1.5) & Blue Walker 3","2022-09-11T01:10:00.000Z",2022,1,1,14,"5+",1,14760,"ASDS","5e9e3033383ecb075134e7cd"
"62a9f8b320413d2695d8871b","Starlink 4-26 (v1.5)","2022-08-09T22:57:00.000Z",2022,1,1,3,"3",1,13260,"ASDS","5e9e3033383ecb075134e7cd"
"62dd70d5202306255024d139","Crew-5","2022-10-05T16:00:00.000Z",2022,1,1,1,"1",0,NA,"ASDS","5e9e3033383ecbb9e534e7cc"
"62f3b4ff0f55c50e192a4e6b","Starlink 3-3 (v1.5)","2022-08-12T21:30:00.000Z",2022,1,1,10,"5+",1,13260,"ASDS","5e9e3032383ecb6bb234e7ca"
"62f3b5200f55c50e192a4e6c","Starlink 4-27 (v1.5)","2022-08-19T19:24:00.000Z",2022,1,1,9,"5+",1,13260,"ASDS","5e9e3033383ecb075134e7cd"
"62f3b5290f55c50e192a4e6d","Starlink 4-23 (v1.5)","2022-08-28T02:22:00.000Z",2022,1,1,2,"2",1,13260,"ASDS","5e9e3033383ecb075134e7cd"
"62f3b5330f55c50e192a4e6e","Starlink 4-20 (v1.5) & Sherpa LTC-2/Varuna-TDM","2022-09-05T02:09:00.000Z",2022,1,1,7,"5+",1,13440,"ASDS","5e9e3033383ecbb9e534e7cc"
"62f3b53a0f55c50e192a4e6f","Starlink 3-4 (v1.5)","2022-08-31T05:40:00.000Z",2022,1,1,7,"5+",1,13260,"ASDS","5e9e3032383ecb6bb234e7ca"
"63161329ffc78f3b8567070b","Starlink 4-34 (v1.5)","2022-09-17T01:05:00.000Z",2022,1,1,6,"5+",1,13260,"ASDS","5e9e3033383ecbb9e534e7cc"
"63161339ffc78f3b8567070c","Starlink 4-35 (v1.5)","2022-09-24T23:30:00.000Z",2022,1,1,4,"4",1,13260,"ASDS","5e9e3033383ecbb9e534e7cc"
